# boundary coordinates (UTM zone 14, north=true) (x,y)
415630.8188088372	4.790964933225179e6
416277.5718844943	4.7905839419383025e6
416383.20323481597	4.790414810296444e6
416775.05124435347	4.790204621619358e6
416644.3814698091	4.790021625291659e6
416579.5670913919	4.789781175136057e6
416850.72726276907	4.7897689614614565e6
416874.3223053538	4.789892516639176e6
416920.54024911864	4.790033899461493e6
416973.7997010563	4.790094114518756e6
417052.2903856451	4.79010670520956e6
417250.89258994116	4.790143377240086e6
417389.5486425991	4.790117140991767e6
417470.8752435079	4.790035958156083e6
417513.44879594946	4.789912040784014e6
417592.2919762266	4.789819893713572e6
417666.60716648377	4.789635391729569e6
417655.1125407617	4.789236676406027e6
417846.4932973838	4.789231691470127e6
417994.94286865776	4.790444008974036e6
418214.0103995159	4.790287531830415e6
418732.7640613037	4.790230317195709e6
418931.0239521088	4.79038222206745e6
418256.35571827483	4.790494057109941e6
418024.0089823514	4.790686347240699e6
417789.9026286103	4.790672075250052e6
417598.4727088729	4.790302088117888e6
416917.7575926381	4.790330382354705e6
416388.3808343605	4.790683428235782e6
415880.7743224151	4.790974602242759e6
