# boundary coordinates (UTM zone 14, north=true) (x,y)
415775.5013990566	4.789601508178554e6
418052.360194738	4.78805252327486e6
418231.0733774231	4.788058254621327e6
416429.0231094878	4.786671485135185e6
415891.0416617376	4.791298582244989e6
419464.0749892348	4.791290203290794e6
421891.6445537455	4.7898601209647e6
421908.6215230749	4.789571812640374e6
421814.7745981496	4.788451097422986e6
421465.6936700232	4.786764104617848e6
421195.97999190085	4.786694467333516e6
423512.0098440255	4.789662620760366e6
424117.9117975002	4.7887089637611015e6
426103.9764190439	4.789504063516886e6
424593.63060215977	4.786407119150299e6
424912.21076646016	4.790646260959464e6
415058.7096705602	4.786731689466526e6
415069.62032479397	4.789933857796004e6
425974.5397862295	4.785955438409192e6
416430.05268583866	4.78626661991971e6
421507.52330321074	4.784844913903972e6
426095.82296475	4.791199819265195e6
429287.334388805	4.788478105596227e6
